# staircaseramp pharma apab apabv3 ap05hz ap1hz ap2hz sactiv sinactiv
1.600086437642494475e-01 1.690381261568878468e-01 4.095797981816236555e-01 2.608681505218721774e-01 4.204734338412481898e-01 3.181512565656816616e-01 4.759860874015024446e-01 1.202605236662040028e-01 1.352285585431828308e-01
1.608132260249638401e-01 3.693485851286406607e-01 4.080834632038477516e-01 4.633584144992602960e-01 5.426609776355020287e-01 4.215959172382071629e-01 3.473782348456818103e-01 1.673368806386988095e-01 1.823296040728509815e-01
1.627072631834313721e-01 3.329651495352253243e-01 2.961142621120412266e-01 3.307165410034818009e-01 4.273104437272523537e-01 2.882870400839512848e-01 2.061034712487726239e-01 2.140566383882913093e-01 1.609896042354640455e-01
1.648605593791290236e-01 1.357605426878467081e-01 5.194482438192312701e-01 5.013657852005923843e-01 1.038586928067012138e+00 1.153362903089864222e+00 8.176189989926075929e-01 4.875253510650575522e-02 1.707976571396538912e-01
1.685984755169646077e-01 3.921384459048348203e-01 3.984999519509788701e-01 3.897016236180554927e-01 4.850965611021033075e-01 4.081604423990213282e-01 3.075826712879285441e-01 1.511265603155093895e-01 1.115980860594584650e-01
1.703971743346975043e-01 1.487653545159399737e-01 4.172554512148658468e-01 2.543449064501606127e-01 5.045348728409442263e-01 3.541838674501899820e-01 3.189951412140029641e-01 5.398219720546299644e-02 1.535436226020991390e-01
1.726297766620152885e-01 2.204054709629394704e-01 3.179429078288649180e-01 2.468479853381435329e-01 4.057477133248720835e-01 3.520935081215776918e-01 3.581800251151780468e-01 1.167979701180527075e-01 1.468848079175161248e-01
1.740320866569072533e-01 1.971865715087228466e-01 2.807712917052830326e-01 2.596876955096353301e-01 3.941014256653696535e-01 3.035984370764693296e-01 2.569532546275145046e-01 7.272008762469719945e-02 8.362074150493029046e-02
1.752148801338903328e-01 3.110428761964500466e-01 4.055870539892267312e-01 3.159869446049901609e-01 5.451452134665467630e-01 4.334676342754870682e-01 3.824728807895481641e-01 6.587514421084886274e-02 1.730576492013105039e-01
1.787552759605848252e-01 1.698055131154211361e-01 7.646330657248040508e-01 6.785924590452468985e-01 9.766472397885942458e-01 6.898006803654221919e-01 7.179581671561300338e-01 5.202939798463061122e-02 3.295935818933461992e-01
1.808116231402169261e-01 3.415245654640076123e-01 4.312216204215157944e-01 4.128710888461265549e-01 6.045630262167823732e-01 4.999221338379515878e-01 3.715945750650394563e-01 8.964243755817360992e-02 2.126537598992358780e-01
1.824693654150503774e-01 2.160552006609718356e-01 4.559226724119511687e-01 3.213849784076195371e-01 6.105686919477109065e-01 4.462822571690680529e-01 3.154127338214098852e-01 5.959954448877721050e-02 1.924056524931194445e-01
1.884681209679286429e-01 1.419141931319240491e-01 5.846564450577785843e-01 3.581902542803446776e-01 6.795184329167087700e-01 5.882677406729893699e-01 8.045154995238397166e-01 1.025818455582431926e-01 2.277883096924881445e-01
1.931694423968250696e-01 4.414619328679115218e-01 4.298548775892520046e-01 4.487579981039365729e-01 6.183643028853206269e-01 5.260199302639461116e-01 3.779017581885487087e-01 1.584501545931574218e-01 1.260709443142535302e-01
1.989938048713937313e-01 2.657187943551574949e-01 4.028531217690597410e-01 3.464609996407290726e-01 4.942413183886438244e-01 4.414751050589564296e-01 3.538112964603231658e-01 1.275676254954788980e-01 7.199736123273116351e-02
1.993961140700209189e-01 2.399815170590948732e-01 4.016160117860181344e-01 4.658660117839254489e-01 4.818888273333172823e-01 4.066268729023886364e-01 3.392350740038653223e-01 1.050867446347884260e-01 2.138072377408843372e-01
2.194408949390242169e-01 1.438477844131315075e-01 3.430953821190820263e-01 2.347375968095749277e-01 4.484939354057894678e-01 3.225601590646219319e-01 2.621895312890695773e-01 6.139844175105157315e-02 1.897112580076527333e-01
2.274134453857765137e-01 5.159245566687964413e-01 5.015793072704015643e-01 5.274532573270959146e-01 6.054762107297113616e-01 5.615951695716303593e-01 4.489114968616889079e-01 1.717174728651967575e-01 1.169912652998938846e-01
2.554730916496873450e-01 1.454038538781418088e-01 6.757463346901623202e-01 5.961570499947161927e-01 5.409146989440176689e-01 5.120380301537020840e-01 1.039402382327315966e+00 6.938478898542138618e-02 3.665764553397702907e-01
